gene,coef
Dnajb9,-0.412553786963514
Brpf1,-0.42571267041514
Tcaf1,-0.43971801351793
Ctsh,-0.453705786178131
Rbm39,-0.455033675600579
Sema6a,-0.458863888058634
Rapgef5,-0.46311340262697
Tpd52l2,-0.48720739716594
Car5a,-0.488451333767075
Tceal8,-0.504458681898566
Tuba1a,-0.515419758132049
Zmpste24,-0.527124340864387
Ptprr,-0.53802879665698
H1f0,-0.56274018824802
Zc3h14,-0.563455029880282
Supt4a,-0.571860583701316
Tubb2a,-0.577025329558027
Palmd,-0.587058370033506
Stmn1,-0.591604475919636
Rsrp1,-0.603966973734622
Scand1,-0.611900159961136
Hmgcs1,-0.627405788067807
Ssh2,-0.63066771592143
Cnot6l,-0.642211528207426
Slc50a1,-0.648641833530124
Dgcr2,-0.656214886218978
Tpd52l1,-0.674381281604096
Irf2,-0.764049654469531
Mex3c,-0.776064586653674
Sparc,-0.824161829136716
Chd3,-0.8748138075102
Ube2g1,-1.03811650647535
Itga1,-1.04521150631563
Ctla2a,-1.07037414341195
Stox2,-1.13393630842904
Ndufs4,-1.23610020228148
