gene,coef
Tgoln1,0.00161405176257244
Dusp1,0.00160135751467031
Smim19,0.0015676881831937
Ntrk2,0.00155794326781543
Gbp3,0.00149665584444796
Ndufs6,0.00147614566939472
Mfsd2a,0.00147260821652124
Pigyl,0.00139143784478827
Puf60,0.00135684744606645
Fcer1g,0.00126660835493212
Hbb-bt,0.00125238294317855
Vps36,0.0012290568829471
Suz12,0.00119011305430296
Lyz2,0.00115545463783031
Commd8,0.00108580261620598
Dusp22,0.00101372832433339
Aldoc,0.000998929928025204
Galnt1,0.000923130571767381
Lims1,0.000899407674046885
Tmed4,0.000890091945376408
Sptssa,0.000852804538739672
Slc38a5,0.000804518427387889
Gsta4,0.000793199635078728
Cycs,0.000779086545318654
Scand1,0.00074239369522635
Lbr,0.000734077161271207
Kdelr1,0.00071316243832223
Igtp,0.000556659635697382
Gdi1,0.000516989253174765
Syt11,0.000515065054301009
Zc3h14,0.000485214385596446
Ptprd,0.000464983368278125
Ptn,0.000405999556242101
Cd9,0.000388540128219818
Atp2a2,0.000386553839661417
Smad2,0.000383713454760181
Clk1,0.000357637723368751
Hspa1b,0.000336283666104691
Ppp1r16b,0.000317762136739287
Ptgds,0.000194345015595938
Dpysl2,0.000126311806451319
AU021092,0.000124258696708135
Zfp608,0.000105564471815543
N4bp3,8.78381145899657e-05
Bcl10,6.99605869985622e-05
44257,6.66746274945989e-05
Aamp,2.40367414253166e-05
Atp1a1,4.42293129629334e-06
Itga1,1.19000898801038e-06
Cct3,1.0953769211016e-06
Fubp1,-7.83858907155311e-06
Ccdc91,-1.64512802601618e-05
Dhx29,-2.07647077784999e-05
Rnps1,-6.3724202771917e-05
Gosr2,-0.000138418398360334
Fmo2,-0.000207759934072346
Hnrnpa0,-0.000258179207318732
Nsf,-0.000319429578934156
Slc26a10,-0.000471978003223372
Pip5k1c,-0.000528389923188754
Atf1,-0.000634665748047256
Fzd4,-0.000642294502304902
Taf15,-0.000669530935191193
Mesd,-0.000690819768727063
Eif5,-0.000727312423173614
Commd7,-0.000768248104332566
Pdcd11,-0.000843862874080334
Gm42418,-0.000867257024707558
Sp100,-0.000928964016488412
Mecom,-0.000964964693598663
Tmem252,-0.00100098132011952
Cfh,-0.00114610113157766
Vil1,-0.00120381302715794
Cyth1,-0.00122719563023269
Junb,-0.00122973079368179
Vwf,-0.00135726447438212
Serp1,-0.00137339105645723
Ifit3b,-0.00143574048163121
Gmnn,-0.0014403704392538
Prpf4b,-0.00145045103284013
Tbc1d4,-0.00149008970925259
Rpl12,-0.00163496948314376
U2af1,-0.00172587200648183
Icam1,-0.00177894153214847
P4ha2,-0.00181422128334365
Stxbp6,-0.00185444427965947
Stat3,-0.00227476773644836
Cyth3,-0.00239579186912454
Mif,-0.00247592323561641
Edn1,-0.00262771097878531
Slc1a3,-0.00271780710964624
Ifih1,-0.00280980092560902
Ifi27l2a,-0.00283190545880244
Irf7,-0.00300089970211465
AC149090.1,-0.00316683044126691
Neat1,-0.00344521815666388
Pan3,-0.00400543305399305
Ier3,-0.00402759012686244
Fas,-0.00424195006241989
Rps28,-0.00455392681273281
Hdac7,-0.00467199605476665
Plscr2,-0.00474922561095002
Snrk,-0.00480233342076314
Agrn,-0.00502800161640061
Rpl6,-0.00504292502487184
Nostrin,-0.00506461491781527
Slc25a24,-0.00554885619995689
Sf1,-0.00579120233974489
Isg15,-0.00617357249449294
Vat1,-0.00657496652358997
Prrc2c,-0.00734156682104943
S1pr1,-0.00741803755687322
Dhrs7,-0.00757403967386271
Gm9946,-0.00781083515621386
Tacc1,-0.0082213551034392
Apod,-0.00872017374356842
Thrsp,-0.00969732438042614
Ccnh,-0.0118273927739417
H2-Q4,-0.0121279679788346
Pkm,-0.0140943673764552
Cxcl12,-0.0150543545884436
H2-K1,-0.0174599671643841
